Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;13.09.13;Hertha;Stuttgart;A;19;8;1;1;0;0
D1;14.09.13;Augsburg;Freiburg;H;14;5;1;2;0;0
D1;14.09.13;Bayern Munich;Hannover;H;18;13;3;3;0;0
D1;14.09.13;Dortmund;Hamburg;H;32;4;0;4;0;0
D1;14.09.13;Leverkusen;Wolfsburg;H;14;14;2;2;0;1
D1;14.09.13;Mainz;Schalke 04;A;14;10;1;3;0;0
D1;14.09.13;Werder Bremen;Ein Frankfurt;A;12;14;2;0;1;0
D1;15.09.13;Braunschweig;Nurnberg;D;23;9;3;2;0;0
D1;15.09.13;Hoffenheim;M'gladbach;H;10;16;3;2;0;0
D1;20.09.13;M'gladbach;Braunschweig;H;13;12;1;2;0;1
D1;21.09.13;Hamburg;Werder Bremen;A;19;16;2;4;0;0
D1;21.09.13;Hannover;Augsburg;H;15;12;3;4;0;0
D1;21.09.13;Mainz;Leverkusen;A;14;13;1;1;0;0
D1;21.09.13;Nurnberg;Dortmund;D;10;18;1;2;0;0
D1;21.09.13;Schalke 04;Bayern Munich;A;10;14;1;0;0;0
D1;21.09.13;Wolfsburg;Hoffenheim;H;15;7;1;4;0;0
D1;22.09.13;Freiburg;Hertha;D;8;8;2;4;0;0
D1;22.09.13;Stuttgart;Ein Frankfurt;D;14;16;3;2;0;0
D1;27.09.13;Augsburg;M'gladbach;D;20;8;2;3;0;0
D1;28.09.13;Bayern Munich;Wolfsburg;H;11;4;2;1;0;0
D1;28.09.13;Dortmund;Freiburg;H;27;2;0;1;0;1
D1;28.09.13;Ein Frankfurt;Hamburg;D;9;11;2;1;0;0
D1;28.09.13;Hertha;Mainz;H;9;7;1;4;0;0
D1;28.09.13;Hoffenheim;Schalke 04;D;12;12;3;2;0;0
D1;28.09.13;Leverkusen;Hannover;H;19;8;0;0;0;0
D1;29.09.13;Braunschweig;Stuttgart;A;10;15;0;1;0;0
D1;29.09.13;Werder Bremen;Nurnberg;D;15;17;2;2;0;0
D1;04.10.13;Hannover;Hertha;D;14;10;3;3;0;0
D1;05.10.13;Leverkusen;Bayern Munich;D;5;27;1;1;0;0
D1;05.10.13;Mainz;Hoffenheim;D;17;14;2;2;0;0
D1;05.10.13;M'gladbach;Dortmund;H;6;27;2;2;0;1
D1;05.10.13;Schalke 04;Augsburg;H;13;10;1;3;0;1
D1;05.10.13;Stuttgart;Werder Bremen;D;20;7;1;2;0;0
D1;05.10.13;Wolfsburg;Braunschweig;A;17;7;2;3;0;0
D1;06.10.13;Freiburg;Ein Frankfurt;D;13;11;3;2;0;1
D1;06.10.13;Nurnberg;Hamburg;A;7;16;1;0;0;0
D1;18.10.13;Hoffenheim;Leverkusen;A;20;12;0;4;0;0
D1;19.10.13;Bayern Munich;Mainz;H;18;13;1;0;0;0
D1;19.10.13;Braunschweig;Schalke 04;A;14;14;0;1;0;0
D1;19.10.13;Dortmund;Hannover;H;18;10;1;3;0;0
D1;19.10.13;Ein Frankfurt;Nurnberg;D;15;10;2;3;0;0
D1;19.10.13;Hertha;M'gladbach;H;5;13;2;1;0;1
D1;19.10.13;Werder Bremen;Freiburg;D;18;11;1;2;0;0
D1;20.10.13;Augsburg;Wolfsburg;A;11;13;2;3;0;0
D1;20.10.13;Hamburg;Stuttgart;D;20;9;1;2;0;1
D1;25.10.13;Stuttgart;Nurnberg;D;10;7;2;1;0;0
D1;26.10.13;Bayern Munich;Hertha;H;13;10;3;4;0;0
D1;26.10.13;Hannover;Hoffenheim;A;11;10;3;2;2;0
D1;26.10.13;Leverkusen;Augsburg;H;24;11;1;3;0;0
D1;26.10.13;Mainz;Braunschweig;H;9;6;2;3;0;0
D1;26.10.13;Schalke 04;Dortmund;A;12;10;3;1;0;0
D1;26.10.13;Wolfsburg;Werder Bremen;H;19;8;1;2;0;0
D1;27.10.13;Freiburg;Hamburg;A;9;17;2;1;0;0
D1;27.10.13;M'gladbach;Ein Frankfurt;H;13;11;2;4;0;0
D1;01.11.13;Dortmund;Stuttgart;H;17;3;1;0;0;0
D1;02.11.13;Braunschweig;Leverkusen;H;17;16;2;2;0;1
D1;02.11.13;Ein Frankfurt;Wolfsburg;A;10;10;3;2;0;0
D1;02.11.13;Hamburg;M'gladbach;A;17;8;0;2;0;0
D1;02.11.13;Hertha;Schalke 04;A;18;11;3;1;0;0
D1;02.11.13;Hoffenheim;Bayern Munich;A;7;17;2;0;0;0
D1;02.11.13;Nurnberg;Freiburg;A;20;14;0;1;0;1
D1;03.11.13;Augsburg;Mainz;H;19;11;3;3;0;1
D1;03.11.13;Werder Bremen;Hannover;H;12;18;3;4;0;0
D1;08.11.13;Hannover;Braunschweig;D;19;8;1;1;0;0
D1;09.11.13;Bayern Munich;Augsburg;H;23;6;0;0;0;0
D1;09.11.13;Hoffenheim;Hertha;A;9;11;2;2;0;0
D1;09.11.13;Leverkusen;Hamburg;H;20;11;3;4;0;0
D1;09.11.13;M'gladbach;Nurnberg;H;12;19;2;2;0;0
D1;09.11.13;Schalke 04;Werder Bremen;H;17;9;2;4;0;0
D1;09.11.13;Wolfsburg;Dortmund;H;10;12;2;4;0;0
D1;10.11.13;Freiburg;Stuttgart;A;19;10;2;1;0;0
D1;10.11.13;Mainz;Ein Frankfurt;H;20;14;4;1;0;0
D1;22.11.13;Stuttgart;M'gladbach;A;9;19;0;2;0;0
D1;23.11.13;Augsburg;Hoffenheim;H;16;8;2;3;0;0
D1;23.11.13;Braunschweig;Freiburg;A;21;8;3;1;0;0
D1;23.11.13;Dortmund;Bayern Munich;A;7;10;2;3;0;0
D1;23.11.13;Ein Frankfurt;Schalke 04;D;15;13;4;0;0;0
D1;23.11.13;Hertha;Leverkusen;A;12;4;1;1;0;0
D1;23.11.13;Nurnberg;Wolfsburg;D;11;23;1;1;0;0
D1;24.11.13;Hamburg;Hannover;H;19;11;3;2;0;1
D1;24.11.13;Werder Bremen;Mainz;A;24;18;1;2;0;0
D1;29.11.13;Wolfsburg;Hamburg;D;20;17;4;1;0;0
D1;30.11.13;Bayern Munich;Braunschweig;H;18;8;0;0;0;0
D1;30.11.13;Hertha;Augsburg;D;9;2;1;1;0;0
D1;30.11.13;Hoffenheim;Werder Bremen;D;18;13;2;5;0;0
D1;30.11.13;Leverkusen;Nurnberg;H;17;16;1;3;0;0
D1;30.11.13;Mainz;Dortmund;A;12;16;1;0;1;0
D1;30.11.13;Schalke 04;Stuttgart;H;12;9;2;0;0;0
D1;01.12.13;Hannover;Ein Frankfurt;H;13;12;1;2;0;1
D1;01.12.13;M'gladbach;Freiburg;H;12;9;1;2;0;0
D1;06.12.13;Nurnberg;Mainz;D;16;12;1;2;0;1
D1;07.12.13;Dortmund;Leverkusen;A;13;7;1;4;1;1
D1;07.12.13;Ein Frankfurt;Hoffenheim;A;13;11;5;2;0;0
D1;07.12.13;Hamburg;Augsburg;A;8;16;2;1;0;0
D1;07.12.13;M'gladbach;Schalke 04;H;19;9;1;3;0;1
D1;07.12.13;Stuttgart;Hannover;H;13;14;1;2;0;0
D1;07.12.13;Werder Bremen;Bayern Munich;A;6;17;4;2;0;0
D1;08.12.13;Braunschweig;Hertha;A;13;16;2;4;1;0
D1;08.12.13;Freiburg;Wolfsburg;A;13;17;0;1;0;0
D1;13.12.13;Hertha;Werder Bremen;H;12;9;1;2;0;0
D1;14.12.13;Augsburg;Braunschweig;H;20;9;2;2;0;0
D1;14.12.13;Bayern Munich;Hamburg;H;22;13;0;2;0;0
D1;14.12.13;Hannover;Nurnberg;D;21;16;3;2;0;0
D1;14.12.13;Hoffenheim;Dortmund;D;14;16;2;3;0;0
D1;14.12.13;Mainz;M'gladbach;D;6;10;0;2;0;0
D1;14.12.13;Wolfsburg;Stuttgart;H;12;9;2;2;0;0
D1;15.12.13;Leverkusen;Ein Frankfurt;A;15;16;4;3;0;0
D1;15.12.13;Schalke 04;Freiburg;H;13;8;0;3;0;0
D1;20.12.13;Ein Frankfurt;Augsburg;D;5;9;3;2;0;0
D1;21.12.13;Braunschweig;Hoffenheim;H;14;16;1;2;1;0
D1;21.12.13;Dortmund;Hertha;A;20;6;2;3;0;0
D1;21.12.13;Freiburg;Hannover;H;11;20;1;2;0;0
D1;21.12.13;Hamburg;Mainz;A;18;13;1;1;1;0
D1;21.12.13;Nurnberg;Schalke 04;D;15;8;0;0;0;0
