"idMatch_results","idStadium","idTeam","idWeek","Goals","Goals_Against","numerGames","Win","Shots","Shots_On_Target","Red_Cards","Yellow_Cards"
"6408","12","12","235","4","1","1","1","15","9","0","2"
"6409","3","3","235","0","2","1","0","9","0","0","0"
"6410","27","27","235","2","2","1","0","8","3","1","2"
"6411","18","18","235","2","3","1","0","20","8","0","3"
"6412","16","16","235","0","3","1","0","8","1","0","0"
"6413","1","1","235","0","2","1","0","19","7","0","0"
"6414","11","11","235","2","1","1","1","8","4","0","4"
"6415","17","17","235","3","1","1","1","24","11","0","1"
"6416","21","21","236","0","0","1","0","13","1","0","3"
"6417","10","10","236","1","1","1","0","9","4","0","2"
"6418","26","26","236","1","2","1","0","11","6","0","2"
"6419","2","2","236","5","1","1","1","20","10","0","2"
"6420","14","14","236","1","3","1","0","21","2","0","0"
"6421","4","4","236","2","1","1","1","10","6","0","3"
"6422","15","15","236","2","1","1","1","18","8","0","1"
"6423","5","5","236","0","0","1","0","12","4","0","0"
"6424","7","7","236","6","2","1","1","16","9","0","1"
"6425","11","11","237","1","0","1","1","6","4","0","5"
"6426","12","12","237","0","0","1","0","9","4","0","3"
"6427","13","13","237","0","1","1","0","5","0","0","0"
"6428","14","14","237","1","0","1","1","15","4","0","3"
"6429","3","3","237","1","2","1","0","17","4","0","3"
"6430","27","27","237","1","2","1","0","16","4","0","2"
"6431","17","17","237","2","1","1","1","14","6","0","2"
"6432","18","18","237","1","1","1","0","20","5","0","1"
"6433","16","16","237","1","3","1","0","8","3","0","3"
"6434","21","21","238","1","3","1","0","12","7","0","3"
"6435","10","10","238","3","1","1","1","20","11","0","0"
"6436","26","26","238","0","2","1","0","9","0","0","3"
"6437","2","2","238","2","2","1","0","13","5","0","1"
"6438","4","4","238","1","4","1","0","14","4","0","1"
"6439","15","15","238","3","2","1","1","10","6","0","1"
"6440","5","5","238","0","0","1","0","7","3","0","3"
"6441","7","7","238","1","0","1","1","14","3","0","4"
"6442","1","1","238","3","1","1","1","17","7","0","2"
"6648","10","13","205","0","5","1","0","5","1","0","2"
"6649","21","3","205","1","0","1","1","11","4","1","2"
"6650","26","14","205","2","2","1","0","14","5","0","2"
"6651","2","17","205","0","4","1","0","5","1","0","1"
"6652","15","4","205","1","2","1","0","6","2","0","0"
"6653","5","27","205","1","0","1","1","14","5","0","3"
"6654","7","18","205","3","0","1","1","16","5","0","2"
"6655","16","12","205","3","1","1","1","9","5","0","2"
"6656","1","11","205","1","2","1","0","13","6","0","1"
"6657","3","7","206","1","1","1","0","9","3","0","1"
