Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;01.12.13;Hannover;Ein Frankfurt;2;0;H;13;12;3;4;1;2;0;1
D1;01.12.13;M'gladbach;Freiburg;1;0;H;12;9;4;4;1;2;0;0
D1;06.12.13;Nurnberg;Mainz;1;1;D;16;12;5;4;1;2;0;1
D1;07.12.13;Dortmund;Leverkusen;0;1;A;13;7;5;4;1;4;1;1
D1;07.12.13;Ein Frankfurt;Hoffenheim;1;2;A;13;11;7;4;5;2;0;0
D1;07.12.13;Hamburg;Augsburg;0;1;A;8;16;5;6;2;1;0;0
D1;07.12.13;M'gladbach;Schalke 04;2;1;H;19;9;8;3;1;3;0;1
D1;07.12.13;Stuttgart;Hannover;4;2;H;13;14;8;4;1;2;0;0
D1;07.12.13;Werder Bremen;Bayern Munich;0;7;A;6;17;2;10;4;2;0;0
D1;08.12.13;Braunschweig;Hertha;0;2;A;13;16;2;6;2;4;1;0
D1;08.12.13;Freiburg;Wolfsburg;0;3;A;13;17;2;7;0;1;0;0
D1;13.12.13;Hertha;Werder Bremen;3;2;H;12;9;4;4;1;2;0;0
D1;14.12.13;Augsburg;Braunschweig;4;1;H;20;9;8;1;2;2;0;0
D1;14.12.13;Bayern Munich;Hamburg;3;1;H;22;13;8;6;0;2;0;0
D1;14.12.13;Hannover;Nurnberg;3;3;D;21;16;6;6;3;2;0;0
D1;14.12.13;Hoffenheim;Dortmund;2;2;D;14;16;4;8;2;3;0;0
D1;14.12.13;Mainz;M'gladbach;0;0;D;6;10;0;1;0;2;0;0
D1;14.12.13;Wolfsburg;Stuttgart;3;1;H;12;9;6;4;2;2;0;0
D1;15.12.13;Leverkusen;Ein Frankfurt;0;1;A;15;16;7;5;4;3;0;0
D1;15.12.13;Schalke 04;Freiburg;2;0;H;13;8;4;1;0;3;0;0
D1;20.12.13;Ein Frankfurt;Augsburg;1;1;D;5;9;5;3;3;2;0;0
D1;21.12.13;Braunschweig;Hoffenheim;1;0;H;14;16;8;3;1;2;1;0
D1;21.12.13;Dortmund;Hertha;1;2;A;20;6;5;4;2;3;0;0
D1;21.12.13;Freiburg;Hannover;2;1;H;11;20;3;6;1;2;0;0
D1;21.12.13;Hamburg;Mainz;2;3;A;18;13;8;7;1;1;1;0
