Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;22.09.10;Dortmund;Kaiserslautern;5;0;H;H;21;9;11;3;1;4;0;0
D1;22.09.10;Freiburg;Schalke 04;1;2;A;A;8;7;1;6;3;3;1;0
D1;22.09.10;Hamburg;Wolfsburg;1;3;A;D;19;8;7;4;0;0;0;0
D1;22.09.10;Leverkusen;Ein Frankfurt;2;1;H;D;13;7;4;3;2;1;0;1
D1;22.09.10;M'gladbach;St Pauli;1;2;A;H;16;11;5;5;1;2;1;0
D1;22.09.10;Nurnberg;Stuttgart;2;1;H;H;11;9;3;2;3;3;1;0
D1;24.09.10;FC Koln;Hoffenheim;1;1;D;H;13;13;6;4;3;1;0;0
D1;25.09.10;Bayern Munich;Mainz;1;2;A;D;14;7;4;4;0;2;0;0
D1;25.09.10;Ein Frankfurt;Nurnberg;2;0;H;H;12;15;4;1;4;1;0;0
D1;25.09.10;Schalke 04;M'gladbach;2;2;D;A;22;11;8;6;1;4;0;1
D1;25.09.10;St Pauli;Dortmund;1;3;A;D;11;11;2;6;0;0;0;0
D1;25.09.10;Stuttgart;Leverkusen;1;4;A;A;6;16;1;9;2;1;1;0
D1;25.09.10;Werder Bremen;Hamburg;3;2;H;H;15;13;7;5;2;2;0;0
D1;26.09.10;Kaiserslautern;Hannover;0;1;A;A;19;5;5;2;0;3;0;0
D1;26.09.10;Wolfsburg;Freiburg;2;1;H;D;13;15;5;5;1;2;0;0
D1;01.10.10;Hannover;St Pauli;0;1;A;A;7;10;2;4;2;2;1;0
D1;02.10.10;Freiburg;FC Koln;3;2;H;H;13;12;4;5;1;4;0;0
D1;02.10.10;Hamburg;Kaiserslautern;2;1;H;A;12;8;5;2;1;2;0;0
D1;02.10.10;Mainz;Hoffenheim;4;2;H;D;12;17;5;6;1;5;0;1
D1;02.10.10;M'gladbach;Wolfsburg;1;1;D;A;26;11;8;2;2;2;0;0
D1;02.10.10;Nurnberg;Schalke 04;2;1;H;D;10;6;4;2;1;3;0;1
D1;03.10.10;Dortmund;Bayern Munich;2;0;H;D;13;9;3;2;0;3;0;0
D1;03.10.10;Leverkusen;Werder Bremen;2;2;D;H;17;10;6;3;2;4;0;0
D1;03.10.10;Stuttgart;Ein Frankfurt;1;2;A;A;13;12;5;3;2;4;1;0
D1;15.10.10;FC Koln;Dortmund;1;2;A;A;16;20;5;5;2;4;0;0
D1;16.10.10;Bayern Munich;Hannover;3;0;H;H;15;7;8;1;3;1;0;0
D1;16.10.10;Mainz;Hamburg;0;1;A;D;13;12;5;4;1;3;0;0
D1;16.10.10;Schalke 04;Stuttgart;2;2;D;D;16;10;5;6;0;3;0;0
D1;16.10.10;St Pauli;Nurnberg;3;2;H;H;14;14;7;6;2;3;0;0
D1;16.10.10;Werder Bremen;Freiburg;2;1;H;H;21;13;6;3;0;0;0;0
D1;16.10.10;Wolfsburg;Leverkusen;2;3;A;H;9;16;5;5;1;5;0;0
D1;17.10.10;Hoffenheim;M'gladbach;3;2;H;A;27;12;6;6;1;3;0;2
