Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;30.04.11;Hannover;M'gladbach;0;1;A;D;10;15;2;4;2;0;0;0
D1;30.04.11;Hoffenheim;Stuttgart;1;2;A;H;14;14;5;4;2;2;0;0
D1;30.04.11;Mainz;Ein Frankfurt;3;0;H;H;23;7;11;2;1;2;0;1
D1;07.05.11;Ein Frankfurt;FC Koln;0;2;A;A;11;10;0;7;3;3;0;0
D1;07.05.11;Leverkusen;Hamburg;1;1;D;A;13;11;3;5;1;3;0;0
D1;07.05.11;M'gladbach;Freiburg;2;0;H;D;10;6;5;3;2;1;0;1
D1;07.05.11;Nurnberg;Hoffenheim;1;2;A;D;11;15;5;4;0;2;0;0
D1;07.05.11;Schalke 04;Mainz;1;3;A;D;15;9;4;4;2;1;0;0
D1;07.05.11;St Pauli;Bayern Munich;1;8;A;A;12;17;5;10;3;2;0;0
D1;07.05.11;Stuttgart;Hannover;2;1;H;D;13;11;4;3;2;1;0;0
D1;07.05.11;Werder Bremen;Dortmund;2;0;H;H;11;12;4;2;2;0;0;0
D1;07.05.11;Wolfsburg;Kaiserslautern;1;2;A;A;21;3;3;2;0;1;0;0
D1;14.05.11;Bayern Munich;Stuttgart;2;1;H;D;10;10;5;5;2;2;0;0
D1;14.05.11;Dortmund;Ein Frankfurt;3;1;H;D;18;9;11;3;1;2;0;1
D1;14.05.11;FC Koln;Schalke 04;2;1;H;H;10;17;6;5;2;1;0;0
D1;14.05.11;Freiburg;Leverkusen;0;1;A;A;8;13;2;6;0;1;0;0
D1;14.05.11;Hamburg;M'gladbach;1;1;D;A;16;9;4;3;1;2;0;0
D1;14.05.11;Hannover;Nurnberg;3;1;H;D;20;9;5;2;2;2;0;0
D1;14.05.11;Hoffenheim;Wolfsburg;1;3;A;D;17;20;4;6;0;1;0;0
D1;14.05.11;Kaiserslautern;Werder Bremen;3;2;H;H;12;17;4;7;0;2;0;0
D1;14.05.11;Mainz;St Pauli;2;1;H;A;19;14;7;4;0;2;0;0
