Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BbMxAHA;BbAvAHA
D1;27.08.11;Freiburg;Wolfsburg;H;15;14;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 84;Jan 77
D1;27.08.11;Hamburg;FC Koln;A;15;7;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jun;Jan 98
D1;27.08.11;Hoffenheim;Werder Bremen;A;15;9;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 92;Jan 87
D1;27.08.11;Kaiserslautern;Bayern Munich;A;4;17;3;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 86;Jan 82
D1;27.08.11;Leverkusen;Dortmund;D;16;13;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 92;Jan 88
D1;27.08.11;Nurnberg;Augsburg;H;15;12;4;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Sep;02. MŠr
D1;28.08.11;Hannover;Mainz;D;19;9;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Feb;Jan 89
D1;28.08.11;Schalke 04;M'gladbach;H;22;12;2;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 93;Jan 85
D1;09.09.11;Augsburg;Leverkusen;A;17;17;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;02. MŠr
D1;10.09.11;Bayern Munich;Freiburg;H;25;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;02. Apr
D1;10.09.11;Dortmund;Hertha;A;25;11;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 92;Jan 85
D1;10.09.11;Mainz;Hoffenheim;A;13;9;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 99;Jan 94
D1;10.09.11;M'gladbach;Kaiserslautern;H;19;5;2;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 97;Jan 91
D1;10.09.11;Stuttgart;Hannover;H;17;9;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Mai;2
D1;10.09.11;Werder Bremen;Hamburg;H;22;8;3;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 93;Jan 88
D1;11.09.11;FC Koln;Nurnberg;A;10;13;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 94
D1;11.09.11;Wolfsburg;Schalke 04;H;12;6;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Aug;Jan 99
D1;16.09.11;Freiburg;Stuttgart;A;18;12;3;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Dez;02. Jun
D1;17.09.11;Hamburg;M'gladbach;A;5;12;2;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 83;Jan 79
D1;17.09.11;Hertha;Augsburg;D;17;7;2;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 92;Jan 88
D1;17.09.11;Hoffenheim;Wolfsburg;H;14;10;3;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 83
D1;17.09.11;Kaiserslautern;Mainz;H;15;11;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 99
D1;17.09.11;Leverkusen;FC Koln;A;15;8;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 98;Jan 94
D1;17.09.11;Nurnberg;Werder Bremen;D;21;2;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 94;Jan 88
D1;18.09.11;Hannover;Dortmund;H;14;13;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 85
D1;18.09.11;Schalke 04;Bayern Munich;A;7;19;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 94;01. Sep
D1;23.09.11;Stuttgart;Hamburg;A;17;16;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Jan 95
D1;24.09.11;Augsburg;Hannover;D;13;11;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Nov;02. Jun
D1;24.09.11;Bayern Munich;Leverkusen;H;12;4;1;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 97;Jan 91
D1;24.09.11;Mainz;Dortmund;A;9;20;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. MŠr;Jan 98
D1;24.09.11;M'gladbach;Nurnberg;H;21;7;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Aug;02. MŠr
D1;24.09.11;Schalke 04;Freiburg;H;16;14;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 82;Jan 76
D1;24.09.11;Wolfsburg;Kaiserslautern;H;6;11;1;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Feb;Jan 96
D1;25.09.11;FC Koln;Hoffenheim;H;9;16;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Apr;Jan 99
D1;25.09.11;Werder Bremen;Hertha;H;23;8;2;4;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Aug;02. Jan
D1;30.09.11;Kaiserslautern;Stuttgart;A;22;11;2;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 15;02. Jul
D1;01.10.11;Dortmund;Augsburg;H;19;8;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 96
D1;01.10.11;Freiburg;M'gladbach;H;8;19;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Mai;02. Jan
D1;01.10.11;Hertha;FC Koln;H;10;4;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 94;Jan 89
D1;01.10.11;Hoffenheim;Bayern Munich;D;17;5;1;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 86;Jan 79
D1;01.10.11;Leverkusen;Wolfsburg;H;20;7;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. MŠr;Jan 97
D1;01.10.11;Nurnberg;Mainz;D;9;16;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Aug;02. MŠr
D1;02.10.11;Hamburg;Schalke 04;A;17;9;3;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 84;Jan 79
D1;02.10.11;Hannover;Werder Bremen;H;13;17;5;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 83
D1;14.10.11;Werder Bremen;Dortmund;A;24;9;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 13;02. Jul
D1;15.10.11;Bayern Munich;Hertha;H;19;3;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 85
D1;15.10.11;Mainz;Augsburg;A;18;10;3;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Mai;Jan 99
D1;15.10.11;M'gladbach;Leverkusen;D;23;7;2;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 98;Jan 92
D1;15.10.11;Schalke 04;Kaiserslautern;A;14;14;3;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 16;02. Jan
D1;15.10.11;Stuttgart;Hoffenheim;H;14;15;3;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 81
D1;15.10.11;Wolfsburg;Nurnberg;H;12;12;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;02. Feb
D1;16.10.11;FC Koln;Hannover;H;10;12;3;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 13;02. Apr
D1;16.10.11;Freiburg;Hamburg;A;18;11;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jul;2
D1;21.10.11;Augsburg;Werder Bremen;D;10;22;3;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 96
D1;22.10.11;Dortmund;FC Koln;H;24;2;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Nov;02. Apr
D1;22.10.11;Hamburg;Wolfsburg;D;19;8;2;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 94
D1;22.10.11;Hertha;Mainz;D;8;13;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 97;01. Sep
D1;22.10.11;Hoffenheim;M'gladbach;H;14;7;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 84
D1;22.10.11;Kaiserslautern;Freiburg;H;12;9;0;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 94;Jan 89
D1;22.10.11;Nurnberg;Stuttgart;D;17;13;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jul;Jan 98
D1;23.10.11;Hannover;Bayern Munich;H;12;19;4;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 83
D1;23.10.11;Leverkusen;Schalke 04;A;13;18;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 84
D1;28.10.11;Freiburg;Leverkusen;A;21;11;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 89;Jan 83
D1;29.10.11;Bayern Munich;Nurnberg;H;13;4;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 98;Jan 94
D1;29.10.11;Mainz;Werder Bremen;A;16;13;2;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 96;Jan 89
D1;29.10.11;M'gladbach;Hannover;H;18;14;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 87;Jan 83
D1;29.10.11;Schalke 04;Hoffenheim;H;16;11;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 99;Jan 92
D1;29.10.11;Stuttgart;Dortmund;D;12;15;3;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 91;Jan 87
D1;29.10.11;Wolfsburg;Hertha;A;17;12;3;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Jan 94
D1;30.10.11;FC Koln;Augsburg;H;5;15;1;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 94;01. Sep
D1;30.10.11;Hamburg;Kaiserslautern;D;16;11;2;2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Feb;Jan 95
D1;04.11.11;Mainz;Stuttgart;H;15;18;2;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 16;02. MŠr
D1;05.11.11;Dortmund;Wolfsburg;H;21;6;1;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 99;Jan 91
D1;05.11.11;Hertha;M'gladbach;A;11;12;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Feb;Jan 97
D1;05.11.11;Hoffenheim;Kaiserslautern;D;11;19;5;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 96;Jan 91
D1;05.11.11;Leverkusen;Hamburg;D;15;14;2;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Aug;02. MŠr
D1;05.11.11;Nurnberg;Freiburg;A;12;10;4;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 94;01. Sep
D1;05.11.11;Werder Bremen;FC Koln;H;29;5;3;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 18;02. Jan
D1;06.11.11;Augsburg;Bayern Munich;A;10;14;1;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 96
D1;06.11.11;Hannover;Schalke 04;D;16;13;2;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 84
D1;18.11.11;Kaiserslautern;Leverkusen;A;13;14;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Aug;02. Feb
D1;19.11.11;Bayern Munich;Dortmund;A;16;8;2;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 84
D1;19.11.11;Freiburg;Hertha;D;13;14;2;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 97;01. Sep
D1;19.11.11;M'gladbach;Werder Bremen;H;16;10;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Feb;02. Sep
D1;19.11.11;Schalke 04;Nurnberg;H;11;14;2;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 83
D1;19.11.11;Wolfsburg;Hannover;H;14;7;1;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 82
D1;20.11.11;Hamburg;Hoffenheim;H;18;19;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 91;Jan 86
D1;20.11.11;Stuttgart;Augsburg;H;11;15;2;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. MŠr;Jan 95
D1;25.11.11;FC Koln;M'gladbach;A;5;15;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Jan 81
D1;26.11.11;Augsburg;Wolfsburg;H;14;7;3;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 83;Jan 77
D1;26.11.11;Dortmund;Schalke 04;H;16;3;1;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 97
D1;26.11.11;Hannover;Hamburg;D;11;18;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Jan 93
D1;26.11.11;Hertha;Leverkusen;D;10;18;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 88;Jan 82
D1;26.11.11;Hoffenheim;Freiburg;D;15;14;2;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jul;02. Feb
D1;26.11.11;Nurnberg;Kaiserslautern;H;13;6;4;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 89;Jan 83
D1;27.11.11;Mainz;Bayern Munich;H;17;13;3;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Nov;02. Apr
D1;27.11.11;Werder Bremen;Stuttgart;H;14;14;1;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Nov;Jan 98
D1;02.12.11;Leverkusen;Hoffenheim;H;12;6;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 93;Jan 86
D1;03.12.11;Bayern Munich;Werder Bremen;H;14;7;1;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 92;Jan 87
D1;03.12.11;Freiburg;Hannover;D;15;12;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 84;01. Aug
D1;03.12.11;Kaiserslautern;Hertha;D;21;6;3;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 85;Jan 79
D1;03.12.11;M'gladbach;Dortmund;D;13;11;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 14;02. Aug
D1;03.12.11;Stuttgart;FC Koln;D;18;10;3;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Jan 93
D1;03.12.11;Wolfsburg;Mainz;D;6;11;2;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01. Sep;Jan 84
D1;04.12.11;Hamburg;Nurnberg;H;7;16;3;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Feb;Jan 95
D1;04.12.11;Schalke 04;Augsburg;H;19;11;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Jan;Jan 96
D1;09.12.11;Hertha;Schalke 04;A;15;11;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 84;Jan 77
D1;10.12.11;Augsburg;M'gladbach;H;11;13;3;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02. Apr;Jan 98
D1;10.12.11;FC Koln;Freiburg;H;14;11;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Jan 91
D1;10.12.11;Hannover;Leverkusen;D;17;12;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 86;Jan 82
D1;10.12.11;Mainz;Hamburg;D;12;8;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 99;Jan 95
D1;10.12.11;Nurnberg;Hoffenheim;A;8;15;3;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 94;Jan 88
D1;10.12.11;Werder Bremen;Wolfsburg;H;20;17;1;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 86;Jan 82
D1;11.12.11;Dortmund;Kaiserslautern;D;23;12;1;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 97;Jan 92
D1;11.12.11;Stuttgart;Bayern Munich;A;6;18;3;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jan 98;01. Sep
D1;13.12.11;FC Koln;Mainz;D;12;12;2;4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Feb 15;Jan 94
