Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;28.04.17;Leverkusen;Schalke 04;A;13;12;3;0;0;0
D1;29.04.17;Darmstadt;Freiburg;H;14;9;2;0;0;0
D1;29.04.17;Dortmund;FC Koln;D;23;5;2;2;0;0
D1;29.04.17;Mainz;M'gladbach;A;17;13;1;1;0;0
D1;29.04.17;RB Leipzig;Ingolstadt;D;15;6;3;4;0;1
D1;29.04.17;Werder Bremen;Hertha;H;9;10;1;1;0;0
D1;29.04.17;Wolfsburg;Bayern Munich;A;7;17;0;0;1;0
D1;30.04.17;Augsburg;Hamburg;H;17;9;1;4;0;0
D1;30.04.17;Hoffenheim;Ein Frankfurt;H;8;4;0;3;0;0
D1;05.05.17;FC Koln;Werder Bremen;H;16;11;0;2;0;0
D1;06.05.17;Bayern Munich;Darmstadt;H;23;13;1;1;0;0
D1;06.05.17;Dortmund;Hoffenheim;H;11;10;4;2;0;0
D1;06.05.17;Ein Frankfurt;Wolfsburg;A;7;7;1;2;0;0
D1;06.05.17;Hertha;RB Leipzig;A;6;14;3;3;0;0
D1;06.05.17;Ingolstadt;Leverkusen;D;10;12;1;3;0;0
D1;06.05.17;M'gladbach;Augsburg;D;18;11;2;2;0;0
D1;07.05.17;Freiburg;Schalke 04;H;13;14;0;2;0;0
D1;07.05.17;Hamburg;Mainz;D;6;13;2;1;0;0
D1;13.05.17;Augsburg;Dortmund;D;5;15;2;1;0;0
D1;13.05.17;Darmstadt;Hertha;A;11;16;3;0;0;0
D1;13.05.17;Freiburg;Ingolstadt;D;11;23;2;3;0;0
D1;13.05.17;Leverkusen;FC Koln;D;27;7;0;2;0;0
D1;13.05.17;Mainz;Ein Frankfurt;H;21;6;4;4;0;0
D1;13.05.17;RB Leipzig;Bayern Munich;A;11;20;1;5;0;0
D1;13.05.17;Schalke 04;Hamburg;D;12;18;3;1;0;0
D1;13.05.17;Werder Bremen;Hoffenheim;A;16;16;1;1;0;0
D1;13.05.17;Wolfsburg;M'gladbach;D;11;14;3;1;0;0
D1;20.05.17;Bayern Munich;Freiburg;H;33;19;1;0;0;0
D1;20.05.17;Dortmund;Werder Bremen;H;28;11;4;3;0;0
D1;20.05.17;Ein Frankfurt;RB Leipzig;D;16;7;1;2;0;0
D1;20.05.17;FC Koln;Mainz;H;16;5;2;1;0;0
D1;20.05.17;Hamburg;Wolfsburg;H;6;12;4;3;0;0
D1;20.05.17;Hertha;Leverkusen;A;14;16;3;1;0;0
D1;20.05.17;Hoffenheim;Augsburg;D;19;8;2;1;0;0
D1;20.05.17;Ingolstadt;Schalke 04;D;18;9;1;1;0;1
D1;20.05.17;M'gladbach;Darmstadt;D;18;13;1;0;0;0
